File,Weighted Index
Jin-6.csv,-1.1879221214531699
Jin-7.csv,-0.9727309283684942
Jin-5.csv,-1.2200697644455836
Wu.csv,-1.163373772102787
Jin-4.csv,-1.152924590971323
Jin-1.csv,-1.2609900267589893
Jin-3.csv,-1.1759872106739273
Jin-2.csv,-1.1802061070279648
Lu-1.csv,-1.1935414927786399
Lu-2.csv,-1.1816871901124952
Zhou-2.csv,-1.206629687380725
Yue-1.csv,-1.2156168789265986
Zhou-3.csv,-1.2338906466381756
Zhou-1.csv,-1.1461332354893883
Yue-2.csv,-1.1922976439029165
Qi.csv,-1.1466391453001783
Chu-1.csv,-1.2171094704806351
Chu-2.csv,-1.275751935604775
Jin-9.csv,-1.155656057829039
Zheng.csv,-1.1640297994004114
Jin-8.csv,-1.2390353283196707
Cheng.csv,-1.096130091562427
Huan.csv,-1.0457398773314976
Xiang.csv,-1.110155577194972
Xi.csv,-1.100917016304679
Ai.csv,-1.077587743243784
Xuan.csv,-1.0638392316817704
Zhao.csv,-1.1429783667164422
Yin.csv,-1.0332154816899397
Ding.csv,-1.127232501525246
Wen.csv,-1.0613370302713279
Min.csv,-1.092335642913494
Zhuang.csv,-1.009993242421054
